,nome,genero,freqs 2014,freqs 2015,freqs 2016,freqs 2017
571,Samaritana,F,2,5,2,8
572,Eloise,F,2,0,0,1
573,Taynara,F,2,0,3,3
574,Lianny,F,2,1,0,0
575,Elma,F,2,0,0,0
576,Yanessa,F,2,0,0,0
577,Baran,F,2,0,0,0
578,Ânia,F,2,0,3,3
579,Savannah,F,2,0,1,4
580,Orquídea,F,2,0,2,1
581,Tabita,F,2,3,3,1
582,Haniela,F,2,3,4,4
583,Sofiya,F,2,4,0,2
584,Ária,F,2,0,7,2
585,Veronica,F,2,1,4,2
586,Edite,F,2,0,0,1
587,Zita,F,2,1,3,1
588,Mélinda,F,2,0,0,0
589,Rebeka,F,2,0,0,0
590,Cheila,F,2,4,2,3
591,Maribel,F,2,1,2,1
592,Jasmin,F,2,1,0,4
593,Zlata,F,2,2,2,3
594,Zaira,F,2,3,3,2
595,Magdalena,F,2,1,1,0
596,Zenaide,F,2,1,0,0
597,Mélissa,F,2,0,0,1
598,Suellen,F,2,0,1,1
599,Zapryanka,F,2,0,0,0
600,Ivone,F,2,2,0,7
601,Ionara,F,2,5,3,12
602,Talita,F,2,1,1,5
603,Akira,F,2,0,0,1
604,Nídia,F,2,0,6,8
605,Melodia,F,2,0,0,1
606,Hilda,F,2,1,0,0
607,Monica,F,2,1,1,1
608,Caterina,F,2,3,1,1
609,Mahi,F,2,0,0,0
610,Thamirys,F,2,0,0,0
611,Shana,F,2,0,0,2
612,Louise,F,2,1,2,1
613,Alda,F,2,3,3,2
614,Jaskirat,F,2,0,0,0
615,Elizabet,F,2,0,2,0
616,Nathalia,F,2,0,0,1
617,Dafne,F,2,4,4,1
618,Constânça,F,2,0,1,1
619,Elisabeta,F,2,0,1,0
620,Yulia,F,2,0,1,0
621,Élia,F,2,0,2,2
622,Mária,F,2,0,0,3
623,Henriqueta,F,2,1,0,0
624,Nadia,F,2,1,2,3
625,Aissa,F,2,0,1,0
626,Nayma,F,2,0,2,1
627,Nicol,F,2,0,1,0
628,Crystal,F,2,0,2,0
629,Sandy,F,2,0,1,0
630,Dúnia,F,2,0,0,0
631,Grace,F,2,2,2,4
632,Oksana,F,2,0,0,0
633,Siana,F,2,1,0,0
634,Dayana,F,2,2,0,2
635,Simaura,F,2,3,0,0
636,Antonela,F,2,1,1,4
637,Stefanny,F,2,2,0,0
638,Danielle,F,2,1,1,0
639,Mila,F,2,3,6,8
640,Lilia,F,2,0,1,1
641,Bela,F,2,2,2,3
642,Elizabeth,F,2,3,2,2
643,Luyane,F,2,0,0,0
644,Marianna,F,2,1,1,1
645,Alanna,F,2,0,0,1
646,Yris,F,2,0,0,0
647,Kimora,F,2,1,0,0
648,Agnes,F,2,2,1,3
649,Nerea,F,2,1,0,1
650,Mariah,F,2,0,1,3
651,Jacira,F,2,4,5,3
652,Morena,F,2,0,0,0
653,Elizabete,F,2,0,0,1
654,Séfora,F,2,0,2,4
655,Hadassah,F,2,0,0,1
656,Ilona,F,2,1,0,0
657,Helga,F,2,2,1,0
658,Tchissola,F,2,0,0,1
659,Natali,F,2,0,1,4
660,Carol,F,2,4,6,7
661,Tayla,F,2,2,0,0
662,Inaara,F,2,0,1,0
663,Jaqueline,F,2,1,1,1
664,Alyah,F,2,0,0,0
665,Daisy,F,2,4,1,4
666,Nilza,F,2,0,0,1
667,Xinyi,F,2,0,0,0
668,Luanny,F,2,0,1,1
669,Kristina,F,2,5,0,1
670,Dália,F,2,0,3,6
671,Vidhi,F,2,2,1,0
672,Charlotte,F,2,6,8,7
673,Suzana,F,2,0,2,1
674,Melyssa,F,2,1,4,1
675,Celine,F,2,0,0,1
676,Cléo,F,2,0,0,2
677,Cadija,F,2,0,2,0
678,Virgínia,F,2,0,2,1
679,Radija,F,2,1,3,5
680,Larisa,F,2,2,0,1
681,Eliany,F,2,0,1,0
682,Alycia,F,2,2,2,4
683,Anamaria,F,2,0,0,0
684,Cleide,F,2,0,2,0
685,Liah,F,2,3,1,3
686,Anny,F,2,1,2,3
687,Hellen,F,2,1,5,3
688,Paridhi,F,2,0,0,0
689,Faustina,F,2,0,0,0
690,Beatris,F,2,2,1,0
691,Kataleya,F,2,2,4,4
692,Daiany,F,2,2,1,0
693,Chenxi,F,2,0,0,1
694,Andrada,F,2,0,0,0
695,Alisa,F,2,0,2,1
696,Melisa,F,2,2,1,2
697,Sarai,F,2,3,3,5
698,Alisha,F,2,3,2,1
699,Sancha,F,2,0,1,3
700,Lidiane,F,2,1,1,1
701,Harkirat,F,2,0,1,0
702,Natanaela,F,2,2,0,1
703,Roana,F,2,0,0,0
704,Loredana,F,2,0,0,1
705,Zoé,F,2,0,8,7
706,Eriana,F,2,0,0,0
707,Ayana,F,2,2,1,1
708,Cadi,F,2,0,0,0
709,Stefany,F,2,3,3,5
710,Chen,F,2,0,0,0
711,Lucília,F,2,0,4,1
712,Alisia,F,2,0,0,0
713,Karolina,F,2,4,2,2
714,Lira,F,2,3,3,0
715,Inna,F,2,0,1,0
716,Quessia,F,2,1,2,2
