nome,genero,freqs 2014,freqs 2015,freqs 2016,freqs 2017
Henriqueta,F,2,1,0,0
Nadia,F,2,1,2,3
Aissa,F,2,0,1,0
Nayma,F,2,0,2,1
Nicol,F,2,0,1,0
Crystal,F,2,0,2,0
Sandy,F,2,0,1,0
Dúnia,F,2,0,0,0
Grace,F,2,2,2,4
Oksana,F,2,0,0,0
Siana,F,2,1,0,0
Dayana,F,2,2,0,2
Simaura,F,2,3,0,0
Antonela,F,2,1,1,4
Stefanny,F,2,2,0,0
Danielle,F,2,1,1,0
Mila,F,2,3,6,8
Lilia,F,2,0,1,1
Bela,F,2,2,2,3
Elizabeth,F,2,3,2,2
Luyane,F,2,0,0,0
Marianna,F,2,1,1,1
Alanna,F,2,0,0,1
Yris,F,2,0,0,0
Kimora,F,2,1,0,0
Agnes,F,2,2,1,3
Nerea,F,2,1,0,1
Mariah,F,2,0,1,3
Jacira,F,2,4,5,3
Morena,F,2,0,0,0
Elizabete,F,2,0,0,1
Séfora,F,2,0,2,4
Hadassah,F,2,0,0,1
Ilona,F,2,1,0,0
Helga,F,2,2,1,0
Tchissola,F,2,0,0,1
Natali,F,2,0,1,4
Carol,F,2,4,6,7
Tayla,F,2,2,0,0
Inaara,F,2,0,1,0
Jaqueline,F,2,1,1,1
Alyah,F,2,0,0,0
Daisy,F,2,4,1,4
Nilza,F,2,0,0,1
Xinyi,F,2,0,0,0
Luanny,F,2,0,1,1
Kristina,F,2,5,0,1
Dália,F,2,0,3,6
Vidhi,F,2,2,1,0
Charlotte,F,2,6,8,7
Suzana,F,2,0,2,1
Melyssa,F,2,1,4,1
Celine,F,2,0,0,1
Cléo,F,2,0,0,2
Cadija,F,2,0,2,0
Virgínia,F,2,0,2,1
Radija,F,2,1,3,5
Larisa,F,2,2,0,1
Eliany,F,2,0,1,0
Alycia,F,2,2,2,4
Anamaria,F,2,0,0,0
Cleide,F,2,0,2,0
Liah,F,2,3,1,3
Anny,F,2,1,2,3
Hellen,F,2,1,5,3
Paridhi,F,2,0,0,0
Faustina,F,2,0,0,0
Beatris,F,2,2,1,0
Kataleya,F,2,2,4,4
Daiany,F,2,2,1,0
Chenxi,F,2,0,0,1
Andrada,F,2,0,0,0
Alisa,F,2,0,2,1
Melisa,F,2,2,1,2
Sarai,F,2,3,3,5
Alisha,F,2,3,2,1
Sancha,F,2,0,1,3
Lidiane,F,2,1,1,1
Harkirat,F,2,0,1,0
Natanaela,F,2,2,0,1
Roana,F,2,0,0,0
Loredana,F,2,0,0,1
Zoé,F,2,0,8,7
Eriana,F,2,0,0,0
Ayana,F,2,2,1,1
Cadi,F,2,0,0,0
Stefany,F,2,3,3,5
Chen,F,2,0,0,0
Lucília,F,2,0,4,1
Alisia,F,2,0,0,0
Karolina,F,2,4,2,2
Lira,F,2,3,3,0
Inna,F,2,0,1,0
Quessia,F,2,1,2,2
Krishna,F,2,1,0,1
Inès,F,2,0,0,2
Ivete,F,2,0,0,1
Jannat,F,2,1,1,3
Liyana,F,2,0,0,1
Ilda,F,2,3,1,5
Kellyne,F,2,0,1,1
Maryam,F,2,7,7,1
Ticiana,F,2,4,3,2
Edna,F,2,7,3,7
Rosana,F,2,5,1,2
Berenice,F,2,1,2,0
Simona,F,2,3,2,1
Filomena,F,2,6,3,6
Geovanna,F,2,1,2,8
Eline,F,2,1,0,3
Augusta,F,2,0,1,2
Allana,F,2,7,4,5
Mirella,F,2,0,1,4
Carine,F,2,2,1,0
Neusa,F,2,0,2,0
Annick,F,2,0,1,0
Shanzay,F,2,0,1,0
Charlize,F,2,2,0,1
Juceila,F,2,0,0,0
Pietra,F,2,1,3,0
Noémi,F,2,0,3,3
Megan,F,2,1,0,1
Anya,F,2,1,0,4
Vivian,F,2,4,2,2
Nayra,F,2,2,4,2
Lila,F,2,0,0,1
Alexis,F,2,3,0,0
Kripa,F,1,0,0,0
Lariane,F,1,0,0,0
Garance,F,1,0,0,0
Océane,F,1,0,0,1
Yanni,F,1,0,1,2
Shihan,F,1,0,0,0
Cattleya,F,1,0,1,1
Bani,F,1,0,0,1
Ismália,F,1,0,0,0
Lionela,F,1,0,0,0
Kenzie,F,1,0,0,2
Itzel,F,1,0,0,0
Rivka,F,1,0,0,0
Eshal,F,1,0,2,0
MaMa,F,1,0,0,0
Rosalinda,F,1,0,0,0
Helda,F,1,1,0,0
Seima,F,1,0,0,0
Ishika,F,1,2,0,0
Agatha,F,1,1,3,3
Martha,F,1,3,0,1
Shivani,F,1,0,0,2
Quintazinha,F,1,0,0,0
Prableen,F,1,0,0,0
Doralice,F,1,0,1,0
Toranj,F,1,0,0,0
Bernardina,F,1,0,0,1
Sarolta,F,1,0,0,0
Malika,F,1,0,4,0
Estéfica,F,1,0,0,0
Roslene,F,1,0,0,0
Thalyta,F,1,0,0,0
Briza,F,1,0,0,0
Micaella,F,1,0,0,1
Oumaima,F,1,0,0,0
Liciane,F,1,0,0,0
Gabrielly,F,1,0,2,5
Sheinizy,F,1,0,0,0
Neli,F,1,0,0,0
Estefani,F,1,0,0,0
Miroslava,F,1,0,1,0
Iarah,F,1,0,0,0
Mina,F,1,2,1,0
Fahisa,F,1,0,0,0
Ermelinda,F,1,0,1,1
Shreyana,F,1,0,0,0
Georgina,F,1,1,0,0
Camille,F,1,0,0,1
Si,F,1,2,0,0
Wysmara,F,1,0,0,0
Aléssia,F,1,0,0,1
Parini,F,1,0,0,0
Shaquira,F,1,0,0,0
Wahida,F,1,0,0,0
Matide,F,1,0,0,0
Edith,F,1,0,0,0
Aaditi,F,1,0,0,0
XinYu,F,1,0,0,0
Ciirasela,F,1,0,0,0
Luíza,F,1,0,0,0
Iulia,F,1,0,0,0
Graciani,F,1,0,0,0
Catherine,F,1,1,1,1
Sasha,F,1,3,3,3
Liany,F,1,0,3,1
Suse,F,1,0,1,0
Gracinda,F,1,1,1,0
Érika,F,1,0,1,1
Amber,F,1,1,1,0
Jhuly,F,1,0,0,1
Janejana,F,1,0,0,0
Aruna,F,1,0,0,15
Keilly,F,1,0,0,0
Cirila,F,1,0,0,0
Yalena,F,1,0,0,0
Fatima-Zahara,F,1,0,0,0
Regiany,F,1,0,0,0
Alyne,F,1,1,1,1
Adriella,F,1,0,0,1
Ailina,F,1,0,0,0
Ketley,F,1,0,0,0
Vittoria,F,1,1,0,2
Dhariela,F,1,0,0,0
Bryan,F,1,0,0,0
Liduína,F,1,0,0,0
Smilin,F,1,0,0,0
Monike,F,1,0,0,0
Lyani,F,1,0,0,0
Yasmmyn,F,1,0,0,0
Kylie,F,1,0,1,4
Leanje,F,1,0,0,0
Yohana,F,1,0,1,1
Douaa,F,1,0,0,0
Coline,F,1,0,0,0
Amritveer,F,1,0,0,0
Duna,F,1,0,0,0
Alberta,F,1,0,0,0
Gitanjali,F,1,0,0,0
Dádiva,F,1,0,4,5
Kellyane,F,1,0,0,0
Stacy,F,1,0,2,1
Larysa,F,1,0,0,0
Aniana,F,1,1,0,0
Lunnah,F,1,0,0,0
Léanna,F,1,0,0,0
Taldia,F,1,0,0,0
Amadea,F,1,0,0,0
Karisa,F,1,0,0,0
Swazilene,F,1,0,0,0
Amélie,F,1,0,2,2
Elyne,F,1,0,0,0
Giela,F,1,0,0,0
Ruwwi,F,1,0,0,0
Satam,F,1,0,0,0
Rúbia,F,1,0,3,3
Hijab,F,1,0,0,0
Lyvia,F,1,0,0,0
Nafia,F,1,0,0,0
Dayol,F,1,0,0,0
Brooklyn,F,1,1,0,0
Clementine,F,1,1,1,0
Manon,F,1,2,0,2
Isoke,F,1,0,0,0
Zamy,F,1,0,1,0
Rosita,F,1,0,0,0
Alyona,F,1,0,0,0
Breanne,F,1,0,0,0
Minodora,F,1,0,1,0
Ulé,F,1,0,0,0
Luany,F,1,0,0,1
Ednara,F,1,0,0,0
Arianne,F,1,0,0,2
Thamyres,F,1,0,0,0
Brigite,F,1,2,1,1
Codruta,F,1,0,0,0
Anyra,F,1,0,0,0
Dewi,F,1,0,0,0
Xinyu,F,1,0,0,0
Claudia,F,1,1,1,0
Nusaiba,F,1,0,0,2
Margareta,F,1,0,0,0
Tetyana,F,1,0,0,0
Shreya,F,1,0,0,1
Maja,F,1,0,0,0
Líria,F,1,0,0,1
Jacymiilly,F,1,0,0,0
Dhruvi,F,1,0,0,0
Lianne,F,1,0,0,0
Edilene,F,1,0,0,0
Rouguiyata,F,1,0,0,0
Amandla,F,1,0,0,0
Shelzia,F,1,0,0,0
Yaye,F,1,1,0,0
Carisa,F,1,0,0,0
Aaliyah,F,1,7,3,4
Sira,F,1,1,0,0
Claudiani,F,1,0,0,0
Winni,F,1,0,0,0
Lamisa,F,1,0,0,0
Maura,F,1,5,8,7
Yedllin,F,1,0,0,0
Nathalie,F,1,2,0,0
Ariadnne,F,1,0,0,0
Nadilsa,F,1,0,0,0
Jysea,F,1,0,0,0
Marlise,F,1,0,0,1
Drashti,F,1,0,0,0
Pearl,F,1,0,0,1
Onalyz,F,1,0,0,0
Shanaya,F,1,1,1,0
Vigna,F,1,0,0,0
Meeryam,F,1,0,0,0
Airam,F,1,0,0,0
Quélia,F,1,0,3,0
